Step,Val,Train
1,10.76609325,0.718689322
2,8.183431625,1.942141414
3,7.521986485,0.813385367
4,9.537350655,0.724912465
5,9.887760162,0.758135617
6,9.835287094,1.009616137
7,10.13913345,0.888081729
8,8.338153839,0.867763162
9,9.419797897,0.848472595
10,9.505184174,1.022238612
11,8.464755058,0.860143006
12,10.8517189,0.758858144
13,11.12543869,1.196556926
14,11.43662071,0.868477464
15,11.28824425,0.942950606
16,10.09053707,0.830056548
17,10.71382141,0.795604169
18,10.87742424,0.833373249
19,11.12433434,0.842650831
20,11.70332146,0.727845609
21,12.10940933,0.878029466
22,10.95265198,0.877649307
23,8.073266029,0.931891501
24,10.89879608,0.864899337
25,10.17581749,0.856579542
26,11.8474617,0.699200451
27,8.969923019,1.025409222
28,10.03192139,0.791294336
29,9.802054405,1.040054321
30,8.689321518,1.179461837
31,8.516447067,1.333148122
32,9.754699707,0.778298676
33,11.53705883,0.829188168
34,11.16280174,0.918938279
35,10.94335747,0.765606821
36,10.62071609,0.747809112
37,9.730920792,0.785345137
38,9.935564995,0.890063465
39,9.715606689,0.729512513
40,9.959856033,0.918865025
41,11.28753281,0.825655043
42,10.92489529,0.603543758
43,10.22259331,0.759190798
44,9.678367615,0.599584222
45,10.4225359,0.960692227
46,11.22559452,0.614162743
47,9.612500191,0.881901562
48,7.061798096,0.899655044
49,9.428078651,0.876542747
50,8.828491211,0.965671957
51,9.212741852,0.690612197
52,8.495371819,0.87871927
53,11.79813004,0.809943795
54,11.34421539,0.835543811
55,10.58818722,0.762207389
56,10.26033401,0.997440398
57,10.2647953,0.802079201
58,7.71965456,0.656873465
59,6.785658836,0.986535072
60,9.646297455,0.607307971
61,11.38157749,0.936261654
62,10.70616817,0.729275525
63,10.06876564,0.802011371
64,8.035959244,0.761383474
65,6.833790302,0.854323149
66,11.17700958,0.972417414
67,10.63810158,0.834210217
68,10.76341629,0.913859308
69,11.50299168,0.835624874
70,10.52973557,0.757532358
71,11.06950951,0.820843875
72,10.75538826,0.814835966
73,11.23363686,0.841554165
74,11.54003143,1.102557659
75,13.48695183,1.404361844
76,9.274499893,1.053104997
77,11.30695724,0.812681794
78,11.16159439,0.818962097
79,11.73291206,0.690778971
80,5.32903862,0.851831257
81,12.12075043,0.961614788
82,11.5594635,0.644133687
83,8.904774666,0.851912379
84,10.98181057,0.78565383
85,11.09659576,0.813263416
86,9.413843155,0.734060168
87,6.619868279,0.933423579
88,11.04873085,0.842321932
89,11.64529228,0.781717837
90,11.66596508,0.87175858
91,10.7538662,0.853816271
92,11.67931843,0.768317044
93,10.10009289,0.916766584
94,10.44702339,0.81919831
95,10.87858486,0.805560291
96,11.67344666,0.661964476
97,10.78050041,0.734426558
98,11.8302784,0.913083255
99,11.41409111,0.804184318
100,10.99365711,0.740278721
101,12.41811275,1.012303829
102,12.16243744,0.988887608
103,11.85909653,0.919374287
104,11.88519287,0.733211756
105,11.31893921,0.949051499
106,10.8861351,0.827851057
107,10.8935709,0.836463749
108,9.970388412,0.740713835
109,10.92011642,0.707094133
110,11.51737309,0.853595674
111,11.93323517,0.803079247
112,11.93701935,0.871478856
113,11.71047401,0.752438843
114,11.57149696,0.839447081
115,6.5035429,0.692641437
116,8.946409225,0.801125228
117,10.50579453,0.825735569
118,11.76136589,0.925160646
119,12.47742939,0.88127625
120,10.38548851,0.896452367
121,9.710189819,1.105103493
122,11.0102787,0.756995976
123,12.36731243,0.735586882
124,12.52917099,0.889245212
125,12.0885973,0.778552771
126,11.37878704,0.764318168
127,9.687429428,0.762848079
128,9.826644897,0.796009839
129,10.3060751,0.84969753
130,10.78529549,0.835151255
131,8.506952286,0.774478316
132,9.302154541,0.837537289
133,9.902859688,0.828340292
134,9.162166595,0.759888947
135,10.03680229,0.901260555
136,7.832314491,1.138549447
137,9.959113121,0.750323296
138,7.123351574,0.990233243
139,9.280908585,1.11627984
140,11.90043449,0.869419396
141,12.35414314,0.814250529
142,10.09245968,0.70313406
143,10.00933647,0.823388159
144,10.73949242,0.812013865
145,12.29125118,0.969873786
146,11.22349358,0.785804689
147,10.63396549,0.80145669
148,10.68634987,0.756289899
149,8.631134033,0.728630364
150,5.79526329,1.006950378
151,8.431430817,0.889512718
152,9.326869011,0.814037383
153,9.666856766,0.949029565
154,9.779476166,0.808157086
155,12.21877098,1.016781569
156,11.14431763,1.234529972
157,11.5884161,1.039589167
158,11.18572807,0.835255802
159,10.27105713,0.752064049
160,11.69675541,0.84065038
161,11.86267471,0.730701745
162,10.6245985,0.933686256
163,9.739173889,0.811240435
164,10.23172951,0.809476554
165,12.7816658,1.03137219
166,8.689005852,0.936256588
167,11.39013672,0.816988051
168,10.64351177,0.876564622
169,7.157588959,0.755810678
170,9.319196701,0.833536327
171,11.69768047,0.895093918
172,10.14589977,0.794600904
173,10.37542152,0.800982475
174,10.41022491,0.691318333
175,9.651506424,0.699697733
176,10.23252487,0.83315748
177,10.64936829,0.846325338
178,10.28129768,0.713064253
179,7.772979259,0.643111944
180,3.746818542,0.6959849
181,9.656167984,0.810869336
182,10.52597523,0.810700953
